url,Prices,Model_Name
https://www.trocafone.com/vender/iphone/iphone-4g/11-iphone-4g-16gb-branco,35,iPhone 4G 16GB Branco
https://www.trocafone.com/vender/iphone/iphone-6s-plus/501-iphone-6s-plus-128gb-cinza-espacial,923,iPhone 6S Plus 128GB Cinza Espacial
https://www.trocafone.com/vender/iphone/7/708-iphone-7-128gb-dourado,946,iPhone 7 128GB Dourado
https://www.trocafone.com/vender/iphone/7-plus/726-iphone-7-plus-128gb-dourado,1156,iPhone 7 Plus 128GB Dourado
https://www.trocafone.com/vender/iphone/iphone-8/950-iphone-8-256gb-cinza-espacial,1890,iPhone 8 256GB Cinza Espacial
https://www.trocafone.com/vender/iphone/iphone-8-plus/958-iphone-8-plus-256gb-cinza-espacial,2127,iPhone 8 Plus 256GB Cinza Espacial
https://www.trocafone.com/vender/samsung/galaxy-gran-prime-3g-duos/424-samsung-galaxy-gran-prime-3g-duos-8gb-branco,40,Samsung Galaxy Gran Prime 3G Duos 8GB Branco
https://www.trocafone.com/vender/iphone/6-plus/174-iphone-6-plus-64gb-prateado,689,Iphone 6 Plus 64GB Prateado
https://www.trocafone.com/vender/iphone/6-plus/176-iphone-6-plus-64gb-dourado,689,Iphone 6 Plus 64GB Dourado
https://www.trocafone.com/vender/iphone/6-plus/175-iphone-6-plus-64gb-cinza-espacial,689,Iphone 6 Plus 64GB Cinza Espacial
https://www.trocafone.com/vender/iphone/6-plus/171-iphone-6-plus-16gb-prateado,646,Iphone 6 Plus 16GB Prateado
https://www.trocafone.com/vender/iphone/6-plus/173-iphone-6-plus-16gb-dourado,646,Iphone 6 Plus 16GB Dourado
https://www.trocafone.com/vender/iphone/6-plus/172-iphone-6-plus-16gb-cinza-espacial,646,Iphone 6 Plus 16GB Cinza Espacial
https://www.trocafone.com/vender/iphone/6-plus/177-iphone-6-plus-128gb-prateado,747,Iphone 6 Plus 128GB Prateado
https://www.trocafone.com/vender/samsung/galaxy-tab-3-101-wifi/292-samsung-galaxy-tab-3-101-wi-fi-branco,106,Samsung Galaxy Tab 3 10.1 Wi-Fi Branco
https://www.trocafone.com/vender/samsung/galaxy-tab-3-101-wifi-3g/291-samsung-galaxy-tab-3-101-wi-fi-3g-branco,234,Samsung Galaxy Tab 3 10.1 Wi-Fi + 3G Branco
https://www.trocafone.com/vender/motorola/moto-e-2a-geracao-3g-dual/622-motorola-moto-e2-16gb-3g-dual-branco,84,Motorola Moto E2 16GB 3G Dual Branco
https://www.trocafone.com/vender/lenovo/vibe-a7010-dual-chip/539-lenovo-vibe-a7010-dual-chip-branco,207,Lenovo Vibe A7010 Dual Chip Branco
https://www.trocafone.com/vender/ipad/2-wi-fi/181-ipad-2-wi-fi-16gb-branco,79,iPad 2 Wi-Fi 16GB Branco
https://www.trocafone.com/vender/samsung/galaxy-gran-neo-duos/896-samsung-galaxy-gran-neo-duos-preto,50,Samsung Galaxy Gran Neo Duos Preto
https://www.trocafone.com/vender/samsung/galaxy-gran-neo-plus-duos/898-samsung-galaxy-gran-neo-plus-duos-preto,60,Samsung Galaxy Gran Neo Plus Duos Preto
https://www.trocafone.com/vender/samsung/galaxy-gran-prime-3g-duos/439-samsung-galaxy-gran-prime-3g-duos-8gb-cinza,40,Samsung Galaxy Gran Prime 3G Duos 8GB Cinza
https://www.trocafone.com/vender/asus/zenfone-3-max-32gb/925-asus-zenfone-3-max-32-gb-cinza,140,Asus Zenfone 3 Max 32 GB Cinza
https://www.trocafone.com/vender/samsung/galaxy-s8/906-samsung-galaxy-s8-preto,814,Samsung Galaxy S8 Preto
https://www.trocafone.com/vender/samsung/galaxy-s8/904-samsung-galaxy-s8-prata,814,Samsung Galaxy S8 Prata
https://www.trocafone.com/vender/samsung/galaxy-s8/1021-samsung-galaxy-s8-dourado,814,Samsung Galaxy S8 Dourado
https://www.trocafone.com/vender/samsung/galaxy-s8-plus/907-samsung-galaxy-s8-plus-64gb-preto,909,Samsung Galaxy S8 Plus 64GB Preto
https://www.trocafone.com/vender/samsung/galaxy-s8-plus/909-samsung-galaxy-s8-plus-64gb-prata,909,Samsung Galaxy S8 Plus 64GB Prata
https://www.trocafone.com/vender/samsung/galaxy-s8-plus/945-samsung-galaxy-s8-plus-64gb-dourado,909,Samsung Galaxy S8 Plus 64GB Dourado
https://www.trocafone.com/vender/samsung/galaxy-s8-plus/908-samsung-galaxy-s8-plus-64gb-ametista,909,Samsung Galaxy S8 Plus 64GB Ametista
https://www.trocafone.com/vender/lg/lg-nexus-5-d821/387-lg-nexus-5-d821-vermelho,207,LG Nexus 5 D821 Vermelho
https://www.trocafone.com/vender/lg/lg-nexus-5-d821/386-lg-nexus-5-d821-preto,207,LG Nexus 5 D821 Preto
https://www.trocafone.com/vender/lg/prime-plus-h522/459-lg-prime-plus-h522-titanio,107,LG Prime Plus H522 Titanio
https://www.trocafone.com/vender/asus/zenfone-3-max-32gb/927-asus-zenfone-3-max-32-gb-rosa,140,Asus Zenfone 3 Max 32 GB Rosa
https://www.trocafone.com/vender/asus/zenfone-3-max-32gb/926-asus-zenfone-3-max-32-gb-prata,140,Asus Zenfone 3 Max 32 GB Prata
https://www.trocafone.com/vender/asus/zenfone-3-max-32gb/924-asus-zenfone-3-max-32-gb-dourado,140,Asus Zenfone 3 Max 32 GB Dourado
https://www.trocafone.com/vender/lg/lg-nexus-5-d821/385-lg-nexus-5-d821-branco,207,LG Nexus 5 D821 Branco
https://www.trocafone.com/vender/lg/prime-plus-h522/458-lg-prime-plus-h522-branco,107,LG Prime Plus H522 Branco
https://www.trocafone.com/vender/samsung/galaxy-tab-3-101-wifi/295-samsung-galaxy-tab-3-101-wi-fi-preto,106,Samsung Galaxy Tab 3 10.1 Wi-Fi Preto
https://www.trocafone.com/vender/samsung/galaxy-tab-3-101-wifi-3g/293-samsung-galaxy-tab-3-101-wi-fi-3g-preto,234,Samsung Galaxy Tab 3 10.1 Wi-Fi + 3G Preto
https://www.trocafone.com/vender/motorola/moto-e-2a-geracao-3g-dual/234-motorola-moto-e2-8gb-3g-dual-preto,84,Motorola Moto E2 8GB 3G Dual Preto
https://www.trocafone.com/vender/motorola/moto-e-2a-geracao-3g-dual/235-motorola-moto-e2-8gb-3g-dual-branco,84,Motorola Moto E2 8GB 3G Dual Branco
https://www.trocafone.com/vender/motorola/moto-e-2a-geracao-3g-dual/623-motorola-moto-e2-16gb-3g-dual-preto,84,Motorola Moto E2 16GB 3G Dual Preto
